id,cast_id,cast_name,cast_order
862.0,31.0,Tom Hanks,0.0
8844.0,12898.0,Tim Allen,1.0
15602.0,7167.0,Don Rickles,2.0
31357.0,12899.0,Jim Varney,3.0
11862.0,12900.0,Wallace Shawn,4.0
949.0,7907.0,John Ratzenberger,5.0
11860.0,8873.0,Annie Potts,6.0
45325.0,1116442.0,John Morris,7.0
9091.0,12901.0,Erik von Detten,8.0
710.0,12133.0,Laurie Metcalf,9.0
9087.0,8655.0,R. Lee Ermey,10.0
12110.0,12903.0,Sarah Freeman,11.0
21032.0,37221.0,Penn Jillette,12.0
10858.0,2157.0,Robin Williams,0.0
1408.0,8537.0,Jonathan Hyde,1.0
524.0,205.0,Kirsten Dunst,2.0
4584.0,145151.0,Bradley Pierce,3.0
5.0,5149.0,Bonnie Hunt,4.0
9273.0,10739.0,Bebe Neuwirth,5.0
11517.0,58563.0,David Alan Grier,6.0
8012.0,1276.0,Patricia Clarkson,7.0
1710.0,46530.0,Adam Hann-Byrd,8.0
9691.0,56523.0,Laura Bell Bundy,9.0
12665.0,51551.0,James Handy,10.0
451.0,56522.0,Gillian Barber,11.0
16420.0,1000304.0,Brandon Obray,12.0
9263.0,188949.0,Cyrus Thiedeke,13.0
17015.0,1076551.0,Gary Joseph Thorup,14.0
902.0,1480246.0,Leonard Zola,15.0
37557.0,25024.0,Lloyd Berry,16.0
9909.0,27110.0,Malcolm Stewart,17.0
63.0,53715.0,Annabel Kershaw,18.0
78802.0,1379424.0,Darryl Henriques,19.0
9598.0,1235504.0,Robyn Driscoll,20.0
47018.0,25389.0,Peter Bryant,21.0
687.0,1483449.0,Sarah Gilson,22.0
139405.0,1483450.0,Florica Vlad,23.0
33689.0,1483451.0,June Lion,24.0
9603.0,1483452.0,Brenda Lockmuller,25.0
34615.0,6837.0,Walter Matthau,0.0
31174.0,3151.0,Jack Lemmon,1.0
11443.0,13567.0,Ann-Margret,2.0
35196.0,16757.0,Sophia Loren,3.0
9312.0,589.0,Daryl Hannah,4.0
577.0,16523.0,Burgess Meredith,5.0
11861.0,7166.0,Kevin Pollak,6.0
807.0,8851.0,Whitney Houston,0.0
10530.0,9780.0,Angela Bassett,1.0
8391.0,18284.0,Loretta Devine,2.0
629.0,51359.0,Lela Rochon,3.0
117164.0,66804.0,Gregory Hines,4.0
11448.0,352.0,Dennis Haysbert,5.0
49133.0,87118.0,Michael Beach,6.0
26441.0,34.0,Mykelti Williamson,7.0
97406.0,1276777.0,Lamont Johnson,8.0
124057.0,10814.0,Wesley Snipes,9.0
9089.0,67773.0,Steve Martin,0.0
11010.0,3092.0,Diane Keaton,1.0
99040.0,519.0,Martin Short,2.0
11359.0,70696.0,Kimberly Williams-Paisley,3.0
17182.0,59222.0,George Newbern,4.0
2054.0,18793.0,Kieran Culkin,5.0
10607.0,14592.0,BD Wong,6.0
19760.0,20906.0,Peter Michael Goetz,7.0
9536.0,54348.0,Kate McGregor-Stewart,8.0
11525.0,209.0,Jane Adams,9.0
40628.0,26510.0,Eugene Levy,10.0
4482.0,24358.0,Lori Alan,11.0
10634.0,1158.0,Al Pacino,0.0
755.0,380.0,Robert De Niro,1.0
11859.0,5576.0,Val Kilmer,2.0
28387.0,10127.0,Jon Voight,3.0
48750.0,3197.0,Tom Sizemore,4.0
20927.0,6200.0,Diane Venora,5.0
36929.0,15851.0,Amy Brenneman,6.0
9102.0,15852.0,Ashley Judd,7.0
124626.0,34.0,Mykelti Williamson,8.0
27526.0,524.0,Natalie Portman,9.0
9623.0,15854.0,Ted Levine,10.0
46785.0,119232.0,Tom Noonan,11.0
400.0,31004.0,Tone Loc,12.0
880.0,5587.0,Hank Azaria,13.0
146599.0,15853.0,Wes Studi,14.0
188588.0,352.0,Dennis Haysbert,15.0
8447.0,11160.0,Danny Trejo,16.0
10534.0,9290.0,Henry Rollins,17.0
17414.0,886.0,William Fichtner,18.0
13997.0,34839.0,Kevin Gage,19.0
2086.0,4158.0,Susan Traylor,20.0
61548.0,86602.0,Jerry Trimble,21.0
9095.0,158452.0,Ricky Harris,22.0
12158.0,12799.0,Jeremy Piven,23.0
9283.0,3982.0,Xander Berkeley,24.0
9208.0,181343.0,Begonya Plaza,25.0
40154.0,81687.0,Rick Avery,26.0
406.0,91756.0,Hazelle Goodman,27.0
45549.0,160970.0,Ray Buktenica,28.0
63076.0,175600.0,Max Daniels,29.0
11062.0,12879.0,Vince Deadrick Jr.,30.0
13685.0,9258.0,Steven Ford,31.0
47475.0,167501.0,Farrah Forke,32.0
2045.0,95145.0,Patricia Healy,33.0
9614.0,58535.0,Paul Herman,34.0
688.0,161939.0,Cindy Katz,35.0
11907.0,6580.0,Brian Libby,36.0
10874.0,95796.0,Dan Martin,37.0
89333.0,166543.0,Mario Roberts,38.0
96357.0,43010.0,"Thomas Rosales, Jr.",39.0
197.0,37252.0,Yvonne Zima,40.0
103.0,1457709.0,Mick Gould,41.0
33542.0,4971.0,Bud Cort,42.0
43566.0,941147.0,Viviane Vives,43.0
71754.0,17358.0,Kim Staunton,44.0
43612.0,4790.0,Martin Ferrero,45.0
51352.0,1090464.0,Brad Baldridge,46.0
16934.0,1090465.0,Andrew Camuccio,47.0
10324.0,1576419.0,Kenny Endoso,48.0
78406.0,106714.0,Kimberly Flynn,49.0
55731.0,116153.0,Niki Harris,50.0
32119.0,237923.0,Bill McIntosh,51.0
11066.0,4047.0,Rick Marzan,52.0
11104.0,57347.0,Terry Miller,53.0
37975.0,1576553.0,Daniel O'Haco,54.0
2074.0,218094.0,Kai Soremekun,55.0
27793.0,1491009.0,Peter Blackwell,56.0
44284.0,1137847.0,Trevor Coppola,57.0
290157.0,1504112.0,Mary Kircher,58.0
110972.0,1504568.0,Darin Mangan,59.0
32622.0,20625.0,Robert Miranda,60.0
73067.0,1502517.0,Manny Perry,61.0
11863.0,114625.0,Iva Franks Singer,62.0
55475.0,1576562.0,Tim Werner,63.0
124636.0,1584544.0,Philip Ettington,64.0
9101.0,3.0,Harrison Ford,0.0
123360.0,15887.0,Julia Ormond,1.0
5757.0,17141.0,Greg Kinnear,2.0
39428.0,4301.0,Angie Dickinson,3.0
124639.0,12957.0,Nancy Marchand,4.0
9302.0,8937.0,John Wood,5.0
11000.0,16554.0,Richard Crenna,6.0
249882.0,34485.0,Lauren Holly,7.0
16388.0,13314.0,Dana Ivey,8.0
9737.0,20234.0,Fanny Ardant,9.0
30765.0,73827.0,Patrick Bruel,10.0
10474.0,13242.0,Paul Giamatti,11.0
22279.0,1163.0,Miriam Colón,12.0
30157.0,138242.0,Elizabeth Franz,13.0
568.0,62531.0,Valérie Lemercier,14.0
11780.0,59206.0,Becky Ann Baker,15.0
34996.0,163775.0,John C. Vennema,16.0
414.0,452.0,Margo Martindale,17.0
