id,crew_job,crew_name
862.0,Director,John Lasseter
8844.0,Director,Joe Johnston
15602.0,Director,Howard Deutch
31357.0,Director,Forest Whitaker
11862.0,Director,Charles Shyer
949.0,Director,Michael Mann
11860.0,Director,Sydney Pollack
45325.0,Director,Peter Hewitt
9091.0,Director,Peter Hyams
710.0,Director,Martin Campbell
9087.0,Director,Rob Reiner
12110.0,Director,Mel Brooks
21032.0,Director,Simon Wells
10858.0,Director,Oliver Stone
1408.0,Director,Renny Harlin
524.0,Director,Martin Scorsese
4584.0,Director,Ang Lee
5.0,Director,Allison Anders
5.0,Director,Alexandre Rockwell
5.0,Director,Robert Rodriguez
5.0,Director,Quentin Tarantino
9273.0,Director,Steve Oedekerk
11517.0,Director,Joseph Ruben
8012.0,Director,Barry Sonnenfeld
1710.0,Director,Jon Amiel
9691.0,Director,Richard Donner
12665.0,Director,Victor Salva
451.0,Director,Mike Figgis
16420.0,Director,Oliver Parker
9263.0,Director,Lesli Linka Glatter
17015.0,Director,Roger Michell
902.0,Director,Jean-Pierre Jeunet
902.0,Director,Marc Caro
37557.0,Director,Zhang Yimou
9909.0,Director,John N. Smith
63.0,Director,Terry Gilliam
78802.0,Director,Jean-Jacques Annaud
9598.0,Director,Chris Noonan
47018.0,Director,Christopher Hampton
687.0,Director,Tim Robbins
139405.0,Director,Stephen Low
33689.0,Director,Andy Tennant
9603.0,Director,Amy Heckerling
34615.0,Director,Darrell James Roodt
31174.0,Director,Richard Loncraine
11443.0,Director,Albert Hughes
11443.0,Director,Allen Hughes
35196.0,Director,Michael Hoffman
9312.0,Director,Paul W.S. Anderson
577.0,Director,Gus Van Sant
11861.0,Director,Jocelyn Moorhouse
807.0,Director,David Fincher
10530.0,Director,Mike Gabriel
10530.0,Director,Eric Goldberg
8391.0,Director,Patricia Rozema
629.0,Director,Bryan Singer
117164.0,Director,Richard W. Munchkin
11448.0,Director,Woody Allen
49133.0,Director,Gianni Amelio
26441.0,Director,Holly Goldberg Sloan
97406.0,Director,Ulu Grosbard
124057.0,Director,Robert Tinnell
9089.0,Director,Jodie Foster
11010.0,Director,Michael Radford
99040.0,Director,Robert Lepage
11359.0,Director,Frank Oz
17182.0,Director,John Schlesinger
2054.0,Director,Stephen Herek
10607.0,Director,Paris Barclay
19760.0,Director,Bill Bennett
9536.0,Director,Jason Bloom
11525.0,Director,Farhad Mann
40628.0,Director,James Foley
4482.0,Director,Josiane Balasko
10634.0,Director,F. Gary Gray
755.0,Director,Robert Rodriguez
11859.0,Director,Andrew Sipes
28387.0,Director,Noah Baumbach
48750.0,Director,Claude Lelouch
20927.0,Director,Michael Goldenberg
36929.0,Director,Steve Miner
9102.0,Director,Christian Duguay
124626.0,Director,Susanne Ofteringer
27526.0,Director,Sean Penn
9623.0,Director,Brian Gibson
46785.0,Director,Jafar Panahi
400.0,Director,Gary Fleder
880.0,Director,Marleen Gorris
146599.0,Director,Tim Reid
188588.0,Director,Henry Jaglom
8447.0,Director,Philip Haas
10534.0,Director,Ridley Scott
17414.0,Director,Ken Kwapis
13997.0,Director,Penelope Spheeris
2086.0,Director,John Badham
61548.0,Director,John Duigan
9095.0,Director,Stephen Frears
12158.0,Director,Wes Craven
9283.0,Director,Ted Demme
9208.0,Director,John Woo
40154.0,Director,Kenneth Branagh
406.0,Director,Mathieu Kassovitz
45549.0,Director,Paul W.S. Anderson
63076.0,Director,Nick Broomfield
11062.0,Director,Harold Becker
13685.0,Director,Wes Anderson
47475.0,Director,Nick Castle
2045.0,Director,John Dahl
9614.0,Director,Dennis Dugan
688.0,Director,Clint Eastwood
11907.0,Director,Doris Dörrie
10874.0,Director,Brian Henson
89333.0,Director,Robert Leacock
96357.0,Director,James Bruce
197.0,Director,Mel Gibson
103.0,Director,Martin Scorsese
33542.0,Director,Stanley Tong
43566.0,Director,Barbet Schroeder
71754.0,Director,Mort Ransen
43612.0,Director,Étienne Chatiliez
51352.0,Director,Jon Blair
16934.0,Director,Benjamin Ross
10324.0,Director,Eric Schaeffer
78406.0,Director,Andrew Davis
55731.0,Director,Charles T. Kanganis
32119.0,Director,John N. Smith
11066.0,Director,Reginald Hudlin
11104.0,Director,Wong Kar-wai
37975.0,Director,Giuseppe Tornatore
2074.0,Director,David O. Russell
27793.0,Director,Peter MacDonald
44284.0,Director,Moufida Tlatli
290157.0,Director,Michel Negroponte
110972.0,Director,Bryan Gordon
32622.0,Director,Rebecca Miller
73067.0,Director,Michael Lindsay-Hogg
11863.0,Director,William Friedkin
55475.0,Director,Ángel Muñiz
124636.0,Director,Craig Baldwin
9101.0,Director,David S. Ward
123360.0,Director,Mark Rappaport
5757.0,Director,Dirk Shafer
39428.0,Director,Terence Davies
124639.0,Director,Sandip Ray
9302.0,Director,Jon Avnet
11000.0,Director,Mike Nichols
249882.0,Director,Jakov Sedlar
16388.0,Director,Edward Burns
9737.0,Director,Michael Bay
30765.0,Director,Christopher Cain
10474.0,Director,Scott Kalvert
22279.0,Director,Mike Newell
30157.0,Director,Hal Hartley
568.0,Director,Ron Howard
11780.0,Director,Michael Caton-Jones
34996.0,Director,Abel Ferrara
414.0,Director,Joel Schumacher
649.0,Director,Luis Buñuel
1873.0,Director,John Boorman
5894.0,Director,Paul Auster
5894.0,Director,Wayne Wang
1775.0,Director,Michael Moore
8839.0,Director,Brad Silberling
20649.0,Director,Spike Lee
10329.0,Director,Frank Marshall
8963.0,Director,Tony Scott
26564.0,Director,Terry Zwigoff
8068.0,Director,Robert Rodriguez
8512.0,Director,Carl Franklin
1572.0,Director,John McTiernan
13552.0,Director,Gregg Araki
259209.0,Director,Christopher Menaul
6520.0,Director,Jerry Zucker
9073.0,Director,Dwight H. Little
10428.0,Director,Iain Softley
17447.0,Director,Christopher Ashley
9886.0,Director,Robert Longo
9482.0,Director,Danny Cannon
19326.0,Director,John Fortenberry
9344.0,Director,Larry Clark
9071.0,Director,Tom DiCillo
8973.0,Director,Clive Barker
15730.0,Director,Denys Arcand
47608.0,Director,Antonia Bird
2293.0,Director,Kevin Smith
9070.0,Director,Bryan Spicer
68274.0,Director,David Anspaugh
48787.0,Director,Anthony Waller
34574.0,Director,Michael Almereyda
1642.0,Director,Irwin Winkler
11472.0,Director,Chris Columbus
36196.0,Director,Daisy von Scherler Mayer
11980.0,Director,Gregory Widen
58372.0,Director,Norman René
32646.0,Director,Todd Haynes
10533.0,Director,Roland Joffé
10802.0,Director,Paul Verhoeven
10149.0,Director,Wayne Wang
10149.0,Director,Paul Auster
18402.0,Director,Lasse Hallström
9348.0,Director,Roger Donaldson
139408.0,Director,James Keach
281.0,Director,Kathryn Bigelow
5967.0,Director,Jacques Demy
79593.0,Director,Wesley Strick
47939.0,Director,Martha Coolidge
36834.0,Director,Agnieszka Holland
9090.0,Director,Beeban Kidron
3512.0,Director,Geoff Murphy
52856.0,Director,Diane Keaton
77350.0,Director,Douglas Keeve
9560.0,Director,Alfonso Aráu
9804.0,Director,Kevin Reynolds
31611.0,Director,Desmond Nakano
65796.0,Director,Walter Hill
49805.0,Director,Mike Figgis
26258.0,Director,Greg Beeman
50797.0,Director,Nikita Mikhalkov
19155.0,Director,Milčo Mančevski
76.0,Director,Richard Linklater
11017.0,Director,Tamra Davis
37141.0,Director,Guy Ferland
9382.0,Director,Herbert Ross
6715.0,Director,Peter Horton
18256.0,Director,Stuart Gordon
22625.0,Director,Pat O'Connor
2292.0,Director,Kevin Smith
1909.0,Director,Jeremy Leven
8984.0,Director,Barry Levinson
61813.0,Director,René Bonnière
4954.0,Director,John Badham
62488.0,Director,Jack Baran
10531.0,Director,Roman Polanski
11929.0,Director,Taylor Hackford
8467.0,Director,Peter Farrelly
8467.0,Director,Bobby Farrelly
10451.0,Director,Ang Lee
20156.0,Director,Atom Egoyan
18395.0,Director,Garry Marshall
522.0,Director,Tim Burton
397.0,Director,Lawrence Kasdan
10525.0,Director,Billy Crystal
27985.0,Director,Phillip Borsos
15789.0,Director,Kevin Lima
15789.0,Director,Paul Brizzi
27303.0,Director,Brett Leonard
21183.0,Director,Carlo Carlei
10954.0,Director,Gérard Corbiau
47867.0,Director,Mark Lewis
43475.0,Director,Art Clokey
72031.0,Director,Charles Burnett
14275.0,Director,Steve James
1024.0,Director,Peter Jackson
17207.0,Director,Randall Miller
13701.0,Director,Bernard Rose
14819.0,Director,Steven Brill
32631.0,Director,J. F. Lawton
11777.0,Director,Fred Schepisi
628.0,Director,Neil Jordan
87729.0,Director,James Ivory
18713.0,Director,James Melkonian
6280.0,Director,Ivan Reitman
9061.0,Director,Arne Glimcher
37108.0,Director,Michael Gottlieb
6071.0,Director,Barbet Schroeder
11.0,Director,George Lucas
9587.0,Director,Gillian Armstrong
19101.0,Director,Alfonso Cuarón
49980.0,Director,Ken Loach
17961.0,Director,Claude Chabrol
18183.0,Director,Alfonso Aráu
4476.0,Director,Edward Zwick
11008.0,Director,Nick Castle
47504.0,Director,James Gray
32325.0,Director,Allison Anders
43742.0,Director,Glenn Gordon Caron
28313.0,Director,Stephen Gyllenhaal
11318.0,Director,Nicholas Hytner
3036.0,Director,Kenneth Branagh
40490.0,Director,James Orr
24070.0,Director,Nora Ephron
8986.0,Director,Richard Benjamin
10510.0,Director,Les Mayfield
17402.0,Director,David Frankel
38722.0,Director,Gregory Nava
8438.0,Director,Marc Rocco
11593.0,Director,Robert Benton
1945.0,Director,Michael Apted
39310.0,Director,Nick Gomez
109560.0,Director,Tōru Murakawa
56428.0,Director,Vadim Jean
63105.0,Director,Albert Pyun
131957.0,Director,Alan Jacobs
241.0,Director,Oliver Stone
9058.0,Director,Norman Jewison
527.0,Director,Lee Tamahori
18220.0,Director,Anne Goursaud
6950.0,Director,Wolfgang Petersen
101.0,Director,Luc Besson
63020.0,Director,Mira Nair
2307.0,Director,Joshua Brand
680.0,Director,Quentin Tarantino
41478.0,Director,Mario Van Peebles
25296.0,Director,Ang Lee
40156.0,Director,Antonia Bird
11450.0,Director,Robert Redford
30304.0,Director,Kayo Hatta
10452.0,Director,Patrice Chéreau
12106.0,Director,Sam Raimi
161495.0,Director,Peter Yates
3586.0,Director,Robert Altman
110.0,Director,Krzysztof Kieślowski
108.0,Director,Krzysztof Kieślowski
109.0,Director,Krzysztof Kieślowski
159185.0,Director,He Ping
