budget,id,popularity,release_date,revenue,title,vote_average,vote_count,release_year,return,release_month,release_day_of_week
30000000.0,862,21946943.0,1995-10-30,373554033.0,Toy Story,77.0,5415.0,1995,12.4518011,octubre,lunes
65000000.0,8844,17015539.0,1995-12-15,262797249.0,Jumanji,69.0,2413.0,1995,4.0430346,diciembre,viernes
0.0,15602,117129.0,1995-12-22,0.0,Grumpier Old Men,65.0,92.0,1995,0.0,diciembre,viernes
16000000.0,31357,3859495.0,1995-12-22,81452156.0,Waiting to Exhale,61.0,34.0,1995,5.09075975,diciembre,viernes
0.0,11862,8387519.0,1995-02-10,76578911.0,Father of the Bride Part II,57.0,173.0,1995,inf,febrero,viernes
60000000.0,949,17924927.0,1995-12-15,187436818.0,Heat,77.0,1886.0,1995,3.123946966666667,diciembre,viernes
58000000.0,11860,6677277.0,1995-12-15,0.0,Sabrina,62.0,141.0,1995,0.0,diciembre,viernes
0.0,45325,2561161.0,1995-12-22,0.0,Tom and Huck,54.0,45.0,1995,0.0,diciembre,viernes
35000000.0,9091,523158.0,1995-12-22,64350171.0,Sudden Death,55.0,174.0,1995,1.8385763142857143,diciembre,viernes
58000000.0,710,14686036.0,1995-11-16,352194034.0,GoldenEye,66.0,1194.0,1995,6.072310931034483,noviembre,jueves
62000000.0,9087,6318445.0,1995-11-17,107879496.0,The American President,65.0,199.0,1995,1.739991870967742,noviembre,viernes
0.0,12110,5430331.0,1995-12-22,0.0,Dracula: Dead and Loving It,57.0,210.0,1995,0.0,diciembre,viernes
0.0,21032,12140733.0,1995-12-22,11348324.0,Balto,71.0,423.0,1995,inf,diciembre,viernes
44000000.0,10858,5092.0,1995-12-22,13681765.0,Nixon,71.0,72.0,1995,0.3109492045454545,diciembre,viernes
98000000.0,1408,7284477.0,1995-12-22,10017322.0,Cutthroat Island,57.0,137.0,1995,0.1022175714285714,diciembre,viernes
52000000.0,524,10137389.0,1995-11-22,116112375.0,Casino,78.0,1343.0,1995,2.2329302884615383,noviembre,miércoles
16500000.0,4584,10673167.0,1995-12-13,135000000.0,Sense and Sensibility,72.0,364.0,1995,8.181818181818182,diciembre,miércoles
4000000.0,5,9026586.0,1995-12-09,4300000.0,Four Rooms,65.0,539.0,1995,1.075,diciembre,sábado
30000000.0,9273,8205448.0,1995-11-10,212385533.0,Ace Ventura: When Nature Calls,61.0,1128.0,1995,7.079517766666667,noviembre,viernes
